brand_Name,model_name,discounted_price,original_price,discount_percentage,discount_off,rating,total_reviews
Ben Martin,Men Slim Fit Jeans,689,2999,77,0,4,270
Ben Martin,Men Clean Look Cotton Jeans,689,2999,77,0,4,6
Ben Martin,Men Slim Fit Jeans,689,2999,77,0,3.7,603
Ben Martin,Men Slim Fit Jeans,689,2999,77,0,3.7,55
Ben Martin,Men Slim Fit Jeans,689,2999,77,0,0,0
Ben Martin,Men Slim Fit Jeans,689,2999,77,0,4.1,23
Ben Martin,Men Slim Fit Jeans,689,2999,77,0,0,0
Campus Sutra,Men Slim Fit Jeans,854,1899,55,0,3.5,19
Campus Sutra,Men Stretchable Jeans,874,2499,65,0,3.7,85
Campus Sutra,Men Slim Fit Jeans,759,1899,60,0,3.8,1800
Dennis Lingo,Men Slim Fit Stretchable Jeans,799,2849,72,2050,3.7,399
Dennis Lingo,Men Jean Fit Stretchable Jeans,699,2799,75,2100,3.9,54
Dennis Lingo,Straight Fit Stretchable Jeans,799,2599,69,1800,3.6,11900
Dennis Lingo,Men Straight Fit Jeans,849,2599,67,1750,3.9,950
Dennis Lingo,Men Slim Fit Jeans,899,2999,70,2100,3.8,160
Dennis Lingo,Men Slim Fit Stretchable Jeans,859,2649,68,1790,0,0
Dennis Lingo,Slim Fit Stretchable Jeans,799,2499,68,1700,3.8,50
Dennis Lingo,Men Slim Fit Jeans,899,2799,68,1900,3.9,309
Dennis Lingo,Men's Slim Fit Denim Jeans,899,2999,70,2100,3.8,367
Dennis Lingo,Men Slim Fit Jeans,899,2799,68,1900,4,6
Dennis Lingo,Men Straight Fit Jeans,849,2599,67,1750,3.2,161
Forca,Men Cuffed Hem Cotton Jeans,849,999,15,0,3.2,43
Freeform by High Star,Men Plus Size Slim Fit Jeans,899,1249,28,0,3.8,5
FUBAR,Men Slim Fit Mid-Rise Jeans,599,2499,76,0,4.1,95
FUBAR,Men Slim Fit Clean Look Jeans,599,2499,76,0,0,0
FUBAR,Men Clean Look Cropped Jeans,599,2499,76,0,4.2,45
FUBAR,Men Slim Fit Low-Rise Jeans,599,2499,76,0,0,0
FUBAR,Men Slim Fit Mid-Rise Jeans,599,2499,76,0,4.8,6
FUBAR,Men Slim Fit Mid-Rise Jeans,599,2499,76,0,4,47
FUBAR,Men Stretchable Jeans,599,2499,76,0,3.8,70
GRACIT,Men Skinny Fit Jeans,811,1249,35,0,3.6,876
HARDSODA,Men Plus Size Slim Fit Jean,857,2449,65,0,3.8,85
Harvard,Men Slim Fit Jeans,1086,1698,36,0,3.8,51
Harvard,Men Skinny Fit Jeans,645,1698,62,0,3.4,108
Harvard,Men Skinny Fit Jeans,702,1898,63,0,3.8,210
Harvard,Men Slim Fit Stretchable Jeans,916,1798,49,0,3.8,12
Harvard,Men Skinny Fit Jeans,793,1498,47,0,4,339
Harvard,Men Slim Fit Jeans,1086,1698,36,0,3.5,123
Harvard,Men Regular Fit Jeans,832,1698,51,0,3.5,121
Harvard,Men Regular Fit Jeans,798,1698,53,0,0,0
Harvard,Men Regular Fit Jeans,798,1698,53,0,3.7,37
HERE&NOW,Men Regular Fit Jeans,899,2649,66,1750,3.7,147
HERE&NOW,Men Slim Fit Jeans,779,1999,61,1220,3.5,902
HERE&NOW,Men Slim Fit Distressed Jeans,524,2499,79,0,3.5,35
HERE&NOW,Men Faded Stretchable Jeans,839,1999,58,1160,3.7,2600
HERE&NOW,Men Smart Stretchable Jeans,839,1999,58,1160,3.9,784
HERE&NOW,Men Slim Fit Jeans,889,2099,58,1210,4.1,36
HERE&NOW,Men Jeans,849,2199,61,1350,4.1,277
HERE&NOW,Men Slim Fit Cotton Jeans,669,1599,58,930,4,101
HERE&NOW,Men Faded Stretchable Jeans,819,1599,49,780,3.7,426
HERE&NOW,Men Mid Rise Stretchable Jeans,639,1999,68,1360,3.9,43
HERE&NOW,Men Skinny Fit Jeans,919,1999,54,0,2.8,5
HERE&NOW,Men Slim Fit Stretchable Jeans,819,2399,66,1580,0,0
HERE&NOW,Men Bootcut Clean Look Jeans,899,2599,65,1700,3.9,259
HERE&NOW,Men Slim Tapered Fit Jeans,699,1999,65,0,0,0
HERE&NOW,Men Faded Slim Fit Jeans,709,1999,65,1290,0,0
HERE&NOW,Smart Stretchable Jeans,849,2499,66,1650,4.3,7
HERE&NOW,Men Smart Fit Jeans,759,1999,62,1240,3.6,857
HERE&NOW,Men Slim Fit Jeans,719,2399,70,0,3.6,14
HERE&NOW,Men Skinny Fit Jeans,727,2599,72,0,0,0
High Star,Men Tapered Fit Jeans,674,2699,75,0,4.1,67
High Star,Men Slim Fit Jeans,493,1899,74,0,0,0
High Star,Men Slim Fit Jeans,683,1799,62,0,0,0
High Star,Men Cotton Jogger Jeans,881,2099,58,0,0,0
High Star,Men Slim Fit Jeans,749,1249,40,0,4.1,53
High Star,Men Slim Fit Jeans,599,2499,76,0,0,0
High Star,Men Slim Fit Jeans,599,2499,76,0,3.2,76
High Star,Men Straight Fit Jeans,647,2699,76,0,0,0
HIGHLANDER,Men Relaxed Fit Cotton Jeans,649,2399,73,1750,3.9,41
HIGHLANDER,Men Straight Fit Jeans,734,2099,65,0,3.5,127
HIGHLANDER,Men Tapered Fit Jeans,699,1399,50,700,3.6,465
HIGHLANDER,Men Skinny Fit Jeans,755,1799,58,0,3.8,1100
